DBMS_uriform,X_DBMS_uriform,Y_DBMS_uriform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
upscaledb,upscaledb,upscaledb,Normal,Y_auto,upscaledb,Key-value,,,,Christoph Rupp,DE,2007,,"Commercial,Open Source",Apache v2,cruppstahl/upscaledb,Y,0.33,320
vanilladb,vanilladb,,X_Single,Y_auto,VanillaDB,,,,,National Tsing Hua University,TW,,,"Academic,Open Source",Apache v2,vanilladb/vanillacore,Y,,
vectorsql,vectorsql,,X_Single,Y_auto,VectorSQL,,,,,Bohu Tang,CN,,,"Hobby,Open Source",Apache v2,vectorengine/vectorsql,Y,,
velox,velox,,X_Single,Y_auto,Velox,,,,,Facebook,US,,,"Industrial Research,Open Source",Apache v2,facebookincubator/velox,Y,,
veloxdb,veloxdb,,X_Single,Y_auto,VeloxDB,,,,,VeloxDB,RS,,,"Commercial,Open Source",MIT,VeloxDB/VeloxDB,Y,,
vertexdb,vertexdb,,X_Single,Y_auto,VertexDB,Graph,,,,"Steve Dekorte, Rich Collins",US,,,"Hobby,,,Open Source",,stevedekorte/vertexdb,Y,,
vespa,vespa,,X_Single,Y_auto,Vespa,Document,,,,Yahoo!,NO,,,Open Source,,vespa-engine/vespa,Y,,
victoriametrics,victoriametrics,victoriametrics,Normal,Y_auto,VictoriaMetrics,Wide column#dbdbio>|<dbengines#Time Series,,,,VictoriaMetrics,UA,2018,,Open Source,Apache Version 2.0,VictoriaMetrics/VictoriaMetrics,Y,0.99,219
vitess,vitess,vitess,Normal,Y_auto,Vitess,Relational,,,,Youtube,US,2015,,Open Source,"Apache Version 2.0, commercial licenses available",vitessio/vitess,Y,1.01,217
viyadb,viyadb,,X_Single,Y_auto,ViyaDB,,,,,Michael Spector,IL,,,Open Source,,viyadb/viyadb,Y,,
voldemort,voldemort,project-voldemort,Fuzzy:Normal,Y,Project Voldemort,Key-value,,,,LinkedIn,US,2009,2017,Open Source,Apache version 2,voldemort/voldemort,Y,0.57,264
voltdb,voltdb,voltdb,Normal,Y_auto,VoltDB,Relational,,,,VoltDB Inc.,US,2010,,"Commercial,Open Source","AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",VoltDB/voltdb,Y,2.29,134
vsql,vsql,,X_Single,Y_auto,vsql,Relational,,,,Elliot Chance,US,,,"Hobby,Open Source",,elliotchance/vsql,Y,,
warp-10,warp-10,warp-10,Normal,Y_auto,Warp 10,Time Series,,,,SenX S.A.S.,FR,2015,,"Commercial,Open Source",Apache License 2.0,senx/warp10-platform,Y,0.05,378
weaviate,weaviate,weaviate,Normal,Y_auto,Weaviate,Array#dbdbio>|<dbengines#Search engine,,,,SeMI Technologies B.V.,NL,2019,2022,"Commercial,Open Source",commercial license available with Weaviate Enterprise,semi-technologies/weaviate,Y,0.41,295
webscalesql,webscalesql,,X_Single,Y_auto,WebScaleSQL,,,,,"Facebook, Google, LinkedIn, Twitter, Alibaba Group","US,CN",,,Open Source,,webscalesql/webscalesql-5.6,Y,,
whitedb,whitedb,whitedb,Normal,Y_auto,WhiteDB,Network#dbdbio>|<dbengines#Document,,,,"Priit Järv, Tanel Tammet",EE,2008,,"Hobby,Open Source",GPL V3,priitj/whitedb,Y,0.19,356
wiredtiger,wiredtiger,,X_Single,Y_auto,WiredTiger,Key-value,,,,WiredTiger Inc.,"US,AU",,,"Commercial,Open Source",,wiredtiger/wiredtiger,Y,,
wonderdb,wonderdb,,X_Single,Y_auto,WonderDB,Relational,,,,Vilas Athavale,US,,,"Hobby,Open Source",,dreamdbvilas/wonderdb,Y,,
xap,xap,,X_Single,Y_auto,XAP,Key-value,,,,GigaSpaces,US,,,"Commercial,Open Source",,xap/xap,Y,,
xodus,xodus,,X_Single,Y_auto,Xodus,Document,,,,JetBrains,RU,,,Open Source,,JetBrains/xodus,Y,,
xtdb,xtdb,xtdb,Normal,Y_auto,XTDB,Document,,,,JUXT Ltd.,GB,2019,2021,"Commercial,Open Source",MIT License,xtdb/xtdb,Y,0.18,361
ydb,ydb,ydb,Normal,Y_auto,YDB,Relational#dbdbio>|<dbengines#Document,,,,Yandex,RU,2019,,"Commercial,Open Source",Apache 2.0; commercial license available,ydb-platform/ydb,Y,0.54,271
yottadb,yottadb,,X_Single,Y_auto,YottaDB,Key-value,C,Custom API,Embedded,"YottaDB, LLC",US,2001,,"Commercial,Open Source",AGPL v3,YottaDB/YDB,Y,,
yugabytedb,yugabytedb,yugabytedb,Normal,Y_auto,YugabyteDB,"Relational,Key-value",C++,"Custom API,PL/SQL",Shared-Nothing,"Yugabyte, Inc.",US,2016#dbdbio>|<dbengines#2017,2022,"Commercial,Open Source",Apache v2.0,yugabyte/yugabyte-db,Y,4.38,93
zerodb,zerodb,,X_Single,Y_auto,ZeroDB,Document,Python,Custom API,,ZeroDB Inc.,US,2015,,"Commercial,Open Source",AGPL v3,zerodb/zerodb,Y,,
zodb,zodb,zodb,Normal,Y_auto,ZODB,Object oriented#dbdbio>|<dbengines#Key-value,Python,Custom API,Shared-Everything,Zope Foundation,US,2002#dbdbio>|<dbengines#2009,2020,Open Source,Zope Public License,zopefoundation/ZODB,Y,1.44,176
zoodb,zoodb,,X_Single,Y_auto,ZooDB,Object oriented,Java,Custom API,,Tilmann Zäschke,CH,2008,,Open Source,GPL v3,tzaeschke/zoodb,Y,,
zookeeper,zookeeper,,X_Single,Y_auto,Zookeeper,Hierarchical,Java,Command-line / Shell,Shared-Nothing,Apache Foundation,US,2008,,Open Source,Apache v2,apache/zookeeper,Y,,
postgresql,,postgresql,Y_Single,Y_auto,PostgreSQL,Relational,,,,PostgreSQL Global Development Group,,1989,2023,,BSD,postgres/postgres,Y,616.5,4
sqlite,,sqlite,Y_Single,Y_auto,SQLite,Relational,,,,Dwayne Richard Hipp,,2000,2023,,Public Domain,sqlite/sqlite,Y,132.67,9
snowflake,,snowflake,Y_Single,Y_auto,Snowflake,Relational,,,,Snowflake Computing Inc.,,2014,,,,twitter-archive/snowflake,N,115.65,12
hive,,hive,Y_Single,Y_auto,Hive,Relational,,,,Apache Software Foundation,,2012,2022,,Apache Version 2,apache/hive,Y,72.12,17
hbase,,hbase,Y_Single,Y_auto,HBase,Wide column,,,,Apache Software Foundation,,2008,2021,,Apache version 2,apache/hbase,Y,38.41,26
postgis,,postgis,Y_Single,Y_auto,PostGIS,Spatial DBMS,,,,,,2005,2022,,GPL v2.0,postgis/postgis,Y,29.81,28
presto,,presto,Y_Single,Y_auto,Presto,Relational,,,,Facebook; Presto Foundation,,2013,,,Apache 2.0,prestodb/presto,Y,14.12,43
opensearch,,opensearch,Y_Single,Y_auto,OpenSearch,Search engine,,,,Amazon Web Services,,2021,2023,,Apache Version 2.0,opensearch-project/OpenSearch,Y,10.49,47
kdb,,kdb,Y_Single,Y_auto,Kdb,Time Series,,,,"Kx Systems, a division of First Derivatives plc",,2000,2018,,free 32-bit version,KxSystems/kdb,N,7.31,56
graphite,,graphite,Y_Single,Y_auto,Graphite,Time Series,,,,Chris Davis,,2006,,,Apache 2.0,graphite-project/graphite-web,Y,6.75,63
virtuoso,,virtuoso,Y_Single,Y_auto,Virtuoso,Document,,,,OpenLink Software,,1998,2022,,"GPLv2, extended commercial license available",openlink/virtuoso-opensource,Y,6.11,69
ingres,,ingres,Y_Single,Y_auto,Ingres,Relational,,,,Actian Corporation,,1974,2017,,,fosslc/Ingres,N,5.94,72
scylladb,,scylladb,Y_Single,Y_auto,ScyllaDB,Wide column,,,,ScyllaDB,,2015,2022,,"Open Source (AGPL), commercial license available",scylladb/scylla,Y,5.63,77
adabas,,adabas,Y_Single,Y_auto,Adabas,Multivalue,,,,Software AG,,1971,,,,jrmarino/AdaBase,N,5.13,81
hypersql,,hypersql,Y_Single,Y_auto,HyperSQL,Relational,,,,,,2001,2022,,based on BSD license,ryenus/hsqldb,Y,4.92,83
timescaledb,,timescaledb,Y_Single,Y_auto,TimescaleDB,Time Series,,,,Timescale,,2017,2022,,Apache 2.0,timescale/timescaledb,Y,4.51,88
oracle-nosql,,oracle-nosql,Y_Single,Y_auto,Oracle NoSQL,Document,,,,Oracle,,2011,2022,,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",oracle/nosql-go-sdk,Y,3.7,98
leveldb,,leveldb,Y_Single,Y_auto,LevelDB,Key-value,,,,Google,,2011,2021,,BSD,google/leveldb,Y,3.55,99
rrdtool,,rrdtool,Y_Single,Y_auto,RRDtool,Time Series,,,,Tobias Oetiker,,1999,2022,,GPL V2 and FLOSS,oetiker/rrdtool-1.x,Y,3,110
apache-phoenix,,apache-phoenix,Y_Single,Y_auto,Apache Phoenix,Relational,,,,Apache Software Foundation,,2014,2019,,Apache Version 2.0,apache/phoenix,Y,2.97,112
lmdb,,lmdb,Y_Single,Y_auto,LMDB,Key-value,,,,Symas,,2011,2021,,,LMDB/lmdb,Y,2.86,113
oracle-coherence,,oracle-coherence,Y_Single,Y_auto,Oracle Coherence,Key-value,,,,Oracle,,2007,2016,,,oracle/coherence,N,2.83,115
heavyai,,heavyai,Y_Single,Y_auto,HEAVY.AI,Relational,,,,"HEAVY.AI, Inc.",,2016,,,Apache Version 2; enterprise edition available,heavyai/heavydb,Y,2.68,123
geode,,geode,Y_Single,Y_auto,Geode,Key-value,,,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,,2002,,,Apache Version 2; commercial licenses available as Gemfire,apache/geode,Y,2.52,124
gridgain,,gridgain,Y_Single,Y_auto,GridGain,Key-value,,,,"GridGain Systems, Inc.",,2007,,,,gridgain/gridgain,N,2.41,129
spatialite,,spatialite,Y_Single,Y_auto,SpatiaLite,Spatial DBMS,,,,Alessandro Furieri,,2008,,,"MPL 1.1, GPL v2.0 or LGPL v2.1",illarionov/SpatiaLite,Y,2.25,135
nebulagraph,,nebulagraph,Y_Single,Y_auto,NebulaGraph,Graph,,,,Vesoft Inc.,,2019,,,Apache Version 2.0 + Common Clause 1.0,vesoft-inc/nebula,Y,1.79,154
firebolt,,firebolt,Y_Single,Y_auto,Firebolt,Relational,,,,,,2020,,,,firebolt-db/firebolt-python-sdk,N,1.64,162
sqljs,,sqljs,Y_Single,Y_auto,SQL.JS,Relational,,,,Alon Zakai,,2012,,,,sql-js/sql.js,Y,1.62,165
giraph,,giraph,Y_Single,Y_auto,Giraph,Graph,,,,,,2013,2020,,Apache Version 2,apache/giraph,Y,1.59,169
msql,,msql,Y_Single,Y_auto,mSQL,Relational,,,,Hughes Technologies,,1994,2021,,free licenses can be provided,-,N,1.51,173
gtm,,gtm,Y_Single,Y_auto,GT.M,Key-value,,,,,,1986,2021,,,-,N,1.42,178
opengauss,,opengauss,Y_Single,Y_auto,openGauss,Relational,,,,Huawei and openGauss community,,2019,,,,opengauss-mirror/openGauss-server,Y,1.31,188
perst,,perst,Y_Single,Y_auto,Perst,Object oriented,,,,,,2003,,,commercial license available,The-Alchemist/perst,Y,1.3,189
matisse,,matisse,Y_Single,Y_auto,Matisse,Object oriented,,,,Matisse  Software Inc.,,1986,,,free developer license available,zhihu/Matisse,N,1.27,192
eventstoredb,,eventstoredb,Y_Single,Y_auto,EventStoreDB,Event,,,,Event Store Limited,,2012,,,,EventStore/EventStore,Y,1.27,193
rdf4j,,rdf4j,Y_Single,Y_auto,RDF4J,RDF,,,,"Since 2016 officially forked into an Eclipse project,  former developer was Aduna Software.",,2004,,,"Eclipse Distribution License (EDL), v1.0.",eclipse/rdf4j,Y,1.26,194
xapian,,xapian,Y_Single,Y_auto,Xapian,Search engine,,,,,,1986,,,GPLv2,xapian/xapian,Y,1.19,197
sedna,,sedna,Y_Single,Y_auto,Sedna,Native XML,,,,,,2006,,,Apache Version 2,sedna/sedna,Y,1.13,201
graph-engine,,graph-engine,Y_Single,Y_auto,Graph Engine,Graph,,,,Microsoft,,2010,,,MIT License,microsoft/GraphEngine,Y,1.08,208
scidb,,scidb,Y_Single,Y_auto,SciDB,Multivalue,,,,Paradigm4,,2008,,,,cran/scidb,Y,1.02,216
geomesa,,geomesa,Y_Single,Y_auto,GeoMesa,Spatial DBMS,,,,CCRi and others,,2014,,,Apache License 2.0,geomesa/geomesa-geoserver,Y,0.94,225
tajo,,tajo,Y_Single,Y_auto,Tajo,Relational,,,,Apache Software Foundation,,2012,,,Apache Version 2,apache/tajo,Y,0.71,248
rasdaman,,rasdaman,Y_Single,Y_auto,Rasdaman,Multivalue,,,,,,1998,2019,,extended commercial license available,dioptre/rasdaman,Y,0.71,250
postgres-xl,,postgres-xl,Y_Single,Y_auto,Postgres-XL,Relational,,,,,,2014,2018,,Mozilla public license,Postgres-XL/Postgres-XL,Y,0.71,251
strabon,,strabon,Y_Single,Y_auto,Strabon,RDF,,,,,,2011,,,Mozilla public license,esarbanis/strabon,Y,0.68,253
elassandra,,elassandra,Y_Single,Y_auto,Elassandra,Wide column,,,,,,,,,Apache Version 2.0,strapdata/elassandra,Y,0.63,257
atoti,,atoti,Y_Single,Y_auto,atoti,Object oriented,,,,ActiveViam,,,,,free versions available,atoti/atoti,N,0.62,258
openqm,,openqm,Y_Single,Y_auto,OpenQM,Multivalue,,,,Martin Phillips,,1993,,,"GPLv2, extended commercial license available",gregjurman/openqm,Y,0.59,261
tokyo-tyrant,,tokyo-tyrant,Y_Single,Y_auto,Tokyo Tyrant,Key-value,,,,Mikio  Hirabayashi,,2007,,,GPL,hthetiot/Tokyo-Tyrant,Y,0.58,263
redland,,redland,Y_Single,Y_auto,Redland,RDF,,,,,,2000,,,"Multi License (LGPL, GPLv2, Apache V2)",dajobe/librdf,Y,0.51,277
hugegraph,,hugegraph,Y_Single,Y_auto,HugeGraph,Graph,,,,Baidu,,2018,,,Apache Version 2.0,apache/incubator-hugegraph,Y,0.45,287
marqo,,marqo,Y_Single,Y_auto,Marqo,Search engine,,,,,,2022,,,Apache Version 2.0,marqo-ai/marqo,Y,0.45,288
typesense,,typesense,Y_Single,Y_auto,Typesense,Search engine,,,,,,2015,,,GPL V3,typesense/typesense,Y,0.41,293
tinkergraph,,tinkergraph,Y_Single,Y_auto,TinkerGraph,Graph,,,,,,2009,,,Apache 2.0,apache/tinkerpop,Y,0.38,303
cubicweb,,cubicweb,Y_Single,Y_auto,CubicWeb,RDF,,,,Logilab,,2001,2021,,L-GPL,-,Y,0.38,304
speedb,,speedb,Y_Single,Y_auto,Speedb,Key-value,,,,Speedb,,2020,,,,speedb-io/speedb,N,0.35,313
stsdb,,stsdb,Y_Single,Y_auto,STSdb,Key-value,,,,STS Soft SC,,2011,2015,,"GPLv2, commercial license available",STSSoft/STSdb4,Y,0.33,317
neventstore,,neventstore,Y_Single,Y_auto,NEventStore,Event,,,,,,2011,,,MIT-License,NEventStore/NEventStore,Y,0.33,319
tigris,,tigris,Y_Single,Y_auto,Tigris,Document,,,,"Tigris Data, Inc.",,2022,,,Apache Version 2.0,tigrisdata/tigris,Y,0.3,329
sitewhere,,sitewhere,Y_Single,Y_auto,SiteWhere,Time Series,,,,SiteWhere,,2010,,,Common Public Attribution License Version 1.0,sitewhere/sitewhere,Y,0.27,332
acebase,,acebase,Y_Single,Y_auto,Acebase,Document,,,,,,2018,,,MIT License,appy-one/acebase,Y,0.26,335
dydra,,dydra,Y_Single,Y_auto,Dydra,RDF,,,,,,2010,,,,dydra/dydra,N,0.25,336
hyperleveldb,,hyperleveldb,Y_Single,Y_auto,HyperLevelDB,Key-value,,,,,,2010,,,,rescrv/HyperLevelDB,Y,0.25,337
iboxdb,,iboxdb,Y_Single,Y_auto,iBoxDB,Document,,,,,,2013,,,,iboxdb/ftserver,Y,0.25,337
raptordb,,raptordb,Y_Single,Y_auto,RaptorDB,Document,,,,,,,,,Apache Version 2,-,Y,0.24,343
h2gis,,h2gis,Y_Single,Y_auto,H2GIS,Spatial DBMS,,,,CNRS,,2013,,,LGPL 3.0,orbisgis/h2gis,Y,0.2,351
hawkular-metrics,,hawkular-metrics,Y_Single,Y_auto,Hawkular Metrics,Time Series,,,,Community supported by Red Hat,,2014,,,Apache 2.0,hawkular/hawkular-metrics,Y,0.2,353
siaqodb,,siaqodb,Y_Single,Y_auto,Siaqodb,Object oriented,,,,,,,,,,morecraf/Siaqodb,N,0.19,354
qdrant,,qdrant,Y_Single,Y_auto,Qdrant,Search engine,,,,Qdrant,,2021,,,Apache Version 2.0,qdrant/qdrant,Y,0.18,362
hgraphdb,,hgraphdb,Y_Single,Y_auto,HGraphDB,Graph,,,,,,2016,,,Apache 2.0,rayokota/hgraphdb,Y,0.13,369
badger,,badger,Y_Single,Y_auto,Badger,Key-value,,,,DGraph Labs,,2017,,,Apache 2.0,dgraph-io/badger,Y,0.12,371
kyoto-tycoon,,kyoto-tycoon,Y_Single,Y_auto,Kyoto Tycoon,Key-value,,,,,,2009,,,GPL,AlticeLabsProjects/kyoto,Y,0.06,376
smallsql,,smallsql,Y_Single,Y_auto,SmallSQL,Relational,,,,,,2005,,,L-GPL,CptTZ/SmallSQL,Y,0.04,379
resin-cache,,resin-cache,Y_Single,Y_auto,Resin Cache,Key-value,,,,,,1998,,,"GPLv3, extended commercial license available",dlitz/resin,Y,0.03,382
bergdb,,bergdb,Y_Single,Y_auto,BergDB,Key-value,,,,,,2013,,,Gnu Affero General Public License (AGPL),bergdb/bergdb,Y,0,389
cachelotio,,cachelotio,Y_Single,Y_auto,Cachelot.io,Key-value,,,,,,2015,,,Simplified BSD License,cachelot/cachelot,Y,0,389
jaguardb,,jaguardb,Y_Single,Y_auto,JaguarDB,Key-value,,,,"DataJaguar,  Inc.",,2015,,,GPL V3.0,datajaguar/jaguardb,Y,0,389
newts,,newts,Y_Single,Y_auto,Newts,Time Series,,,,OpenNMS Group,,2014,,,Apache 2.0,OpenNMS/newts,Y,0,389
nsdb,,nsdb,Y_Single,Y_auto,NSDb,Time Series,,,,,,2017,,,Apache Version 2.0,radicalbit/NSDb,Y,0,389
tkrzw,,tkrzw,Y_Single,Y_auto,Tkrzw,Key-value,,,,Mikio Hirabayashi,,2020,,,Apache Version 2.0,estraier/tkrzw,Y,0,389
transwarp-stellardb,,transwarp-stellardb,Y_Single,Y_auto,Transwarp StellarDB,Graph,,,,Transwarp,,,,,,stellardb/StellarDB,N,0,389
percona-server-for-mongodb,,percona-server-for-mongodb,:Y_Single,Y_ConflictResolved,Percona Server for MongoDB,Document,,,,Percona,,2015,2017,,GPL Version 2,percona/percona-server-mongodb,Y,0.56,265
riak-kv,,riak-kv,:Y_Single,Y,Riak KV,Key-value,,,,Basho Technologies,,2009,,,"Apache version 2, commercial enterprise edition",basho/riak_kv,Y,5.14,80
