DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Aug-2023,Rank_Aug-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector DBMS,Wide column,DBMS_urnform
YugabyteDB,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,3.58,99,yugabyte,yugabyte-db,Yugabyte Inc.,2017,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,yugabytedb
Oracle Berkeley DB,Key-value,"Key-value store,Native XML DBMS",https://db-engines.com/en/system/Oracle+Berkeley+DB,Y,,berkeleydb/libdb,3.57,100,berkeleydb,libdb,Oracle,1994,2020,Y,commercial license available,N,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,oracle-berkeley-db
MaxDB,Relational,Relational DBMS,https://db-engines.com/en/system/MaxDB,N,,-,3.5,101,-,-,"SAP, acquired from Software AG (Adabas-D) in 1997",1984,2020,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,maxdb
DolphinDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/DolphinDB,N,,-,3.49,102,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,dolphindb
TiDB,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,3.45,103,pingcap,tidb,"PingCAP, Inc.",2016,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,tidb
RRDtool,Time Series,Time Series DBMS,https://db-engines.com/en/system/RRDtool,Y,,oetiker/rrdtool-1.x,3.3,104,oetiker,rrdtool-1.x,Tobias Oetiker,1999,2022,Y,GPL V2 and FLOSS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,rrdtool
Apache Druid,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Apache+Druid,Y,N,apache/druid,3.3,105,apache,druid,Apache Software Foundation and contributors,2012,2023,Y,Apache license v2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,apache-druid
InterSystems Caché,Key-value,"Key-value store,Object oriented DBMS,Relational DBMS,Document store",https://db-engines.com/en/system/InterSystems+Cach%C3%A9,N,,-,3.3,106,-,-,InterSystems,1997,2020,N,,N,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,intersystems-caché
InterSystems IRIS,Document,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/InterSystems+IRIS,N,,-,3.26,107,-,-,InterSystems,2018,2021,N,,N,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,intersystems-iris
DuckDB,Relational,Relational DBMS,https://db-engines.com/en/system/DuckDB,Y,,duckdb/duckdb,3.25,108,duckdb,duckdb,,2018,2020,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,duckdb
SAP Advantage Database Server,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+Advantage+Database+Server,N,,-,3.23,109,-,-,"Sybase, SAP",1993,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,sap-advantage-database-server
HEAVY.AI,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/HEAVY.AI,Y,Y,heavyai/heavydb,3.2,110,heavyai,heavydb,"HEAVY.AI, Inc.",2016,2022,Y,Apache Version 2; enterprise edition available,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,heavyai
LevelDB,Key-value,Key-value store,https://db-engines.com/en/system/LevelDB,Y,,google/leveldb,3.19,111,google,leveldb,Google,2011,2021,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,leveldb
4D,Relational,Relational DBMS,https://db-engines.com/en/system/4D,N,,-,3.19,112,-,-,"4D, Inc",1984,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4d
PouchDB,Document,Document store,https://db-engines.com/en/system/PouchDB,Y,N,pouchdb/pouchdb,3.18,113,pouchdb,pouchdb,Apache Software Foundation,2012,2019,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pouchdb
LMDB,Key-value,Key-value store,https://db-engines.com/en/system/LMDB,Y,,LMDB/lmdb,3.0,114,LMDB,lmdb,Symas,2011,2021,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,lmdb
Geode,Key-value,Key-value store,https://db-engines.com/en/system/Geode,Y,,apache/geode,2.95,115,apache,geode,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,2002,2017,Y,Apache Version 2; commercial licenses available as Gemfire,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,geode
Percona Server for MySQL,Relational,Relational DBMS,https://db-engines.com/en/system/Percona+Server+for+MySQL,Y_replacementfor_MySQL,N,percona/percona-server,2.93,116,percona,percona-server,Percona,2008,2023,Y,GPL version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,percona-server-for-mysql
Memgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Memgraph,Y,,memgraph/memgraph,2.88,117,memgraph,memgraph,Memgraph Ltd,2017,,N,Free license available,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,memgraph
CloudKit,Document,Document store,https://db-engines.com/en/system/CloudKit,Y,,jcrosby/cloudkit,2.86,118,jcrosby,cloudkit,,2016,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cloudkit
EDB Postgres,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/EDB+Postgres,N,,-,2.75,119,-,-,EnterpriseDB,2005,2021,N,BSD for PostgreSQL-components,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,edb-postgres
Apache Drill,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Apache+Drill,Y,N,apache/drill,2.75,120,apache,drill,Apache Software Foundation,2012,2023,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,apache-drill
GraphDB,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/GraphDB,N,,-,2.69,121,-,-,Ontotext,2000,2023,N,Some plugins of GraphDB Workbench are open sourced,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,graphdb
TDengine,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TDengine,Y,,taosdata/TDengine,2.68,122,taosdata,TDengine,"TDEngine, previously Taos Data",2019,2022,Y,"GPL V3, also commercial editions available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,tdengine
IMS,Navigational,Navigational DBMS,https://db-engines.com/en/system/IMS,N,,-,2.68,123,-,-,IBM,1966,2017,N,,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ims
EXASOL,Relational,Relational DBMS,https://db-engines.com/en/system/EXASOL,N,,-,2.66,124,-,-,Exasol,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,exasol
Amazon Neptune,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Amazon+Neptune,N,,-,2.66,125,-,-,Amazon,2017,,N,,Y,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,amazon-neptune
Amazon SimpleDB,Key-value,Key-value store,https://db-engines.com/en/system/Amazon+SimpleDB,N,,-,2.65,126,-,-,Amazon,2007,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,amazon-simpledb
Oracle Coherence,Key-value,Key-value store,https://db-engines.com/en/system/Oracle+Coherence,Y_CommunityEdition,,oracle/coherence,2.64,127,oracle,coherence,Oracle,2007,2016,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,oracle-coherence
Apache Phoenix,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Phoenix,Y,N,apache/phoenix,2.64,128,apache,phoenix,Apache Software Foundation,2014,2019,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,apache-phoenix
Citus,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Citus,Y,,citusdata/citus,2.62,129,citusdata,citus,,2010,2018,Y,"AGPL, commercial license also available",N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,citus
Pinecone,Vector DBMS,Vector DBMS,https://db-engines.com/en/system/Pinecone,N,Y,-,2.61,130,-,-,"Pinecone Systems, Inc",2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pinecone
Coveo,Search engine,Search engine,https://db-engines.com/en/system/Coveo,N,,-,2.55,131,-,-,Coveo,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,coveo
QuestDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/QuestDB,Y,,questdb/questdb,2.53,132,questdb,questdb,QuestDB Limited,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,questdb
Datomic,Relational,Relational DBMS,https://db-engines.com/en/system/Datomic,N,,-,2.51,133,-,-,Cognitect,2012,2022,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,datomic
SpatiaLite,Spatial DBMS,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/SpatiaLite,Y,,illarionov/SpatiaLite,2.47,134,illarionov,SpatiaLite,Alessandro Furieri,2008,2020,Y,"MPL 1.1, GPL v2.0 or LGPL v2.1",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,spatialite
Chroma,Vector DBMS,Vector DBMS,https://db-engines.com/en/system/Chroma,Y,,chroma-core/chroma,2.45,135,chroma-core,chroma,Chroma,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,chroma
BaseX,Native XML,Native XML DBMS,https://db-engines.com/en/system/BaseX,Y,,BaseXdb/basex,2.43,136,BaseXdb,basex,BaseX GmbH,2007,2023,Y,BSD license,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,basex
JanusGraph,Graph,Graph DBMS,https://db-engines.com/en/system/JanusGraph,Y,,JanusGraph/janusgraph,2.4,137,JanusGraph,janusgraph,"Linux Foundation; originally developed as,Titan,by Aurelius",2017,2023,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,janusgraph
Stardog,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Stardog,N,,-,2.36,138,-,-,Stardog-Union,2010,2020,N,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,stardog
Empress,Relational,Relational DBMS,https://db-engines.com/en/system/Empress,N,,-,2.35,139,-,-,,1981,2010,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,empress
NebulaGraph,Graph,Graph DBMS,https://db-engines.com/en/system/NebulaGraph,Y_archivedas_nebula-graph,Y,vesoft-inc/nebula,2.35,140,vesoft-inc,nebula,Vesoft Inc.,2019,,Y,Apache Version 2.0 + Common Clause 1.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nebulagraph
jBASE,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/jBASE,N,,-,2.34,141,-,-,Rocket Software (formerly Zumasys),1991,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,jbase
GridGain,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/GridGain,Y_CommunityEdition,,gridgain/gridgain,2.31,142,gridgain,gridgain,"GridGain Systems, Inc.",2007,,N,,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,gridgain
TigerGraph,Graph,Graph DBMS,https://db-engines.com/en/system/TigerGraph,N,,-,2.31,143,-,-,,2017,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tigergraph
Db4o,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Db4o,Y,,iboxdb/db4o-gpl,2.29,144,iboxdb,db4o-gpl,,2001,,Y,commercial license available for existing customers only,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,db4o
Amazon DocumentDB,Document,Document store,https://db-engines.com/en/system/Amazon+DocumentDB,N,,-,2.27,145,-,-,,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amazon-documentdb
OpenTSDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/OpenTSDB,Y,,OpenTSDB/opentsdb,2.26,146,OpenTSDB,opentsdb,currently maintained by Yahoo and other contributors,2011,,Y,LGPL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,opentsdb
OceanBase,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/OceanBase,Y,,oceanbase/oceanbase,2.25,147,oceanbase,oceanbase,OceanBase,2011,2022,Y,Commercial license available,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,oceanbase
MonetDB,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MonetDB,Y,,MonetDB/MonetDB,2.24,148,MonetDB,MonetDB,MonetDB BV,2004,2021,Y,Mozilla Public License 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,monetdb
GridDB,Time Series,"Time Series DBMS,Key-value store,Relational DBMS",https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,2.2,149,griddb,griddb,Toshiba Corporation,2013,2022,Y,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,griddb
Amazon CloudSearch,Search engine,Search engine,https://db-engines.com/en/system/Amazon+CloudSearch,N,,-,2.17,150,-,-,Amazon,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,amazon-cloudsearch
VoltDB,Relational,Relational DBMS,https://db-engines.com/en/system/VoltDB,Y,Y,VoltDB/voltdb,2.1,151,VoltDB,voltdb,VoltDB Inc.,2010,2022,Y,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,voltdb
Tibero,Relational,Relational DBMS,https://db-engines.com/en/system/Tibero,N,,-,2.1,152,-,-,TmaxSoft,2003,2015,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,tibero
TimesTen,Relational,Relational DBMS,https://db-engines.com/en/system/TimesTen,N,,-,2.08,153,-,-,"Oracle, TimesTen Performance Software, HP",1998,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,timesten
IBM Db2 warehouse,Relational,Relational DBMS,https://db-engines.com/en/system/IBM+Db2+warehouse,N,,-,2.04,154,-,-,IBM,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ibm-db2-warehouse
SQLBase,Relational,Relational DBMS,https://db-engines.com/en/system/SQLBase,N,,-,2.0,155,-,-,,1985,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,sqlbase
Firebolt,Relational,Relational DBMS,https://db-engines.com/en/system/Firebolt,Y,,firebolt-db/firebolt-python-sdk,1.98,156,firebolt-db,firebolt-python-sdk,Firebolt Analytics Inc.,2020,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,firebolt
Actian NoSQL Database,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Actian+NoSQL+Database,N,,-,1.95,157,-,-,Actian,1988,2017,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,actian-nosql-database
ObjectStore,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectStore,N,,-,1.95,158,-,-,Ignite Technologies,1988,2014,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,objectstore
Mnesia,Document,Document store,https://db-engines.com/en/system/Mnesia,Y,,beardedeagle/mnesiac,1.94,159,beardedeagle,mnesiac,,1999,2018,Y,proprietary license,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mnesia
Matisse,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Matisse,Y_GithubFork,,zhihu/Matisse,1.89,160,zhihu,Matisse,Matisse Software Inc.,1986,,N,free developer license available,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,matisse
LiteDB,Document,Document store,https://db-engines.com/en/system/LiteDB,Y,,mbdavid/LiteDB,1.88,161,mbdavid,LiteDB,Mauricio David,2014,,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,litedb
Tarantool,Document,"Document store,Key-value store,Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/Tarantool,Y,,tarantool/tarantool,1.84,162,tarantool,tarantool,VK,2008,2022,Y,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",N,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,tarantool
Fauna,Document,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Fauna,N,,-,1.78,163,-,-,"Fauna, Inc.",2014,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,fauna
Sedna,Native XML,Native XML DBMS,https://db-engines.com/en/system/Sedna,Y,,sedna/sedna,1.78,164,sedna,sedna,,2006,,Y,Apache Version 2,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,sedna
Giraph,Graph,Graph DBMS,https://db-engines.com/en/system/Giraph,Y,,apache/giraph,1.76,165,apache,giraph,,2013,2020,Y,Apache Version 2,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,giraph
Datameer,Document,Document store,https://db-engines.com/en/system/Datameer,N,,-,1.75,166,-,-,,2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,datameer
GT.M,Key-value,Key-value store,https://db-engines.com/en/system/GT.M,N,,-,1.73,167,-,-,,1986,2021,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,gtm
Dgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Dgraph,Y,Y,dgraph-io/dgraph,1.7,168,dgraph-io,dgraph,"Dgraph Labs, Inc.",2016,,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dgraph
mSQL,Relational,Relational DBMS,https://db-engines.com/en/system/mSQL,N,,-,1.66,169,-,-,Hughes Technologies,1994,2021,N,free licenses can be provided,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,msql
MatrixOne,Relational,Relational DBMS,https://db-engines.com/en/system/MatrixOne,Y,,matrixorigin/matrixone,1.65,170,matrixorigin,matrixone,,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,matrixone
DataEase,Relational,Relational DBMS,https://db-engines.com/en/system/DataEase,N,,-,1.64,171,-,-,,1981,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dataease
Oracle Rdb,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Rdb,N,,-,1.64,172,-,-,"Oracle, originally developed by Digital Equipment Corporation (DEC)",1984,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,oracle-rdb
Altibase,Relational,Relational DBMS,https://db-engines.com/en/system/Altibase,Y,,ALTIBASE/altibase,1.58,173,ALTIBASE,altibase,Altibase,1999,2021,N,Open source edition discontinued with March 2023,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,altibase
Perst,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Perst,Y,,The-Alchemist/perst,1.54,174,The-Alchemist,perst,,2003,,Y,commercial license available,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,perst
PlanetScale,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/PlanetScale,N,,-,1.54,175,-,-,PlanetScale,2020,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,planetscale
NonStop SQL,Relational,Relational DBMS,https://db-engines.com/en/system/NonStop+SQL,N,,-,1.51,176,-,-,"HP, originally by Tandem",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,nonstop-sql
Cubrid,Relational,Relational DBMS,https://db-engines.com/en/system/Cubrid,Y,,CUBRID/cubrid,1.51,177,CUBRID,cubrid,"CUBRID Corporation, CUBRID Foundation",2008,2021,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,cubrid
EventStoreDB,Event,Event Store,https://db-engines.com/en/system/EventStoreDB,Y,,EventStore/EventStore,1.5,178,EventStore,EventStore,Event Store Limited,2012,2021,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,eventstoredb
Infobright,Relational,Relational DBMS,https://db-engines.com/en/system/Infobright,N,,-,1.5,179,-,-,Ignite Technologies Inc.; formerly InfoBright Inc.,2005,,N,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,infobright
Apache Kylin,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Kylin,Y,Y,apache/kylin,1.49,180,apache,kylin,"Apache Software Foundation, originally contributed from eBay Inc",2015,2020,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,apache-kylin
GigaSpaces,Document,"Document store,Object oriented DBMS,Graph DBMS,Search engine",https://db-engines.com/en/system/GigaSpaces,N_Image_Gigaspaces/docker,Y,-,1.49,181,-,-,Gigaspaces Technologies,2000,2020,Y,Apache Version 2; Commercial licenses available,N,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,gigaspaces
GBase,Relational,Relational DBMS,https://db-engines.com/en/system/GBase,N,,-,1.47,182,-,-,,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gbase
ZODB,Key-value,Key-value store,https://db-engines.com/en/system/ZODB,Y,,zopefoundation/ZODB,1.47,183,zopefoundation,ZODB,,2009,2023,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,zodb
Northgate Reality,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Northgate+Reality,N,,-,1.44,184,-,-,,1973,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,northgate-reality
Apache HAWQ,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+HAWQ,Y,,apache/hawq,1.43,185,apache,hawq,Pivotal Software; Apache,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,apache-hawq
NuoDB,Relational,Relational DBMS,https://db-engines.com/en/system/NuoDB,N,,-,1.43,186,-,-,"NuoDB, Inc.",2013,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,nuodb
Milvus,Vector DBMS,Vector DBMS,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,1.42,187,milvus-io,milvus,,2019,2022,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,milvus
Dolt,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Dolt,Y,Y,dolthub/dolt,1.4,188,dolthub,dolt,DoltHub Inc,2018,,Y,Apache Version 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dolt
Meilisearch,Search engine,Search engine,https://db-engines.com/en/system/Meilisearch,Y,,meilisearch/meilisearch,1.39,189,meilisearch,meilisearch,,2020,,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,meilisearch
Model 204,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Model+204,N,,-,1.37,190,-,-,,1972,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,model-204
solidDB,Relational,Relational DBMS,https://db-engines.com/en/system/solidDB,N,,-,1.36,191,-,-,"Unicom Systems, Inc; IBM",1992,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,soliddb
ObjectBox,Object oriented,"Object oriented DBMS,Time Series DBMS",https://db-engines.com/en/system/ObjectBox,Y,,objectbox/objectbox-java,1.35,192,objectbox,objectbox-java,ObjectBox Limited,2017,,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,objectbox
Weaviate,Vector DBMS,Vector DBMS,https://db-engines.com/en/system/Weaviate,Y,,semi-technologies/weaviate,1.35,193,semi-technologies,weaviate,Weaviate B.V.,2019,2023,Y,commercial license available with Weaviate Enterprise,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,weaviate
FoundationDB,Document,"Document store,Key-value store,Relational DBMS",https://db-engines.com/en/system/FoundationDB,Y,,apple/foundationdb,1.32,194,apple,foundationdb,FoundationDB,2013,2020,Y,Apache 2.0,N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,foundationdb
1010data,Relational,Relational DBMS,https://db-engines.com/en/system/1010data,N,,-,1.31,195,-,-,,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1010data
openGauss,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/openGauss,Y,,opengauss-mirror/openGauss-server,1.3,196,opengauss-mirror,openGauss-server,Huawei and openGauss community,2019,2022,Y,,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,opengauss
HFSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HFSQL,N,,-,1.3,197,-,-,PC Soft,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,hfsql
Actian Vector,Relational,Relational DBMS,https://db-engines.com/en/system/Actian+Vector,N,,-,1.3,198,-,-,,,2016,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,actian-vector
D3,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/D3,N,,-,1.28,199,-,-,,1999,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,d3
VictoriaMetrics,Time Series,Time Series DBMS,https://db-engines.com/en/system/VictoriaMetrics,Y,,VictoriaMetrics/VictoriaMetrics,1.28,200,VictoriaMetrics,VictoriaMetrics,VictoriaMetrics,2018,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,victoriametrics
NCache,Key-value,"Key-value store,Document store,Search engine",https://db-engines.com/en/system/NCache,Y,,Alachisoft/NCache,1.27,201,Alachisoft,NCache,Alachisoft,2005,2022,Y,Enterprise Edition available,N,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,ncache
SQL.JS,Relational,Relational DBMS,https://db-engines.com/en/system/SQL.JS,Y,,sql-js/sql.js,1.27,202,sql-js,sql.js,Alon Zakai,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,sqljs
AllegroGraph,Document,"Document store,Graph DBMS,RDF store,Spatial DBMS",https://db-engines.com/en/system/AllegroGraph,N,,-,1.24,203,-,-,Franz Inc.,2004,2022,N,Limited community edition free,N,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,allegrograph
Amazon Timestream,Time Series,Time Series DBMS,https://db-engines.com/en/system/Amazon+Timestream,N,,-,1.23,204,-,-,,2018,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,amazon-timestream
