DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_May-2025,Rank_May-2025,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS,DBMS_urnform
Microsoft Azure Data Explorer,Relational,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,3.0,86,-,-,Microsoft,2019,,N,,Y,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.0,0.0,microsoft-azure-data-explorer
Milvus,Vector,Vector DBMS,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,2.92,87,milvus-io,milvus,,2019,2024,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,milvus
ArangoDB,Document,"Document store,Graph DBMS,Key-value store,Search engine",https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,2.85,88,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,arangodb
Virtuoso,Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,2.79,89,openlink,virtuoso-opensource,OpenLink Software,1998,2023,Y,"GPLv2, extended commercial license available",N,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1.0,0.0,virtuoso
HyperSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,2.72,90,ryenus,hsqldb,,2001,2023,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,hypersql
OrientDB,Document,"Document store,Graph DBMS,Key-value store",https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,2.71,91,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010,2024,Y,Apache version 2,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,orientdb
Google Cloud Bigtable,Key-value,"Key-value store,Wide column store",https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,2.66,92,-,-,Google,2015,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,google-cloud-bigtable
Adabas,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,2.65,93,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,adabas
Microsoft Azure Table Storage,Wide column,Wide column store,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,2.64,94,-,-,Microsoft,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,microsoft-azure-table-storage
RavenDB,Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,2.59,95,ravendb,ravendb,Hibernating Rhinos,2010,2022,Y,"AGPL version 3, commercial license available",N,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0,ravendb
GraphDB,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/GraphDB,N,,-,2.59,96,-,-,Ontotext,2000,2023,N,Some plugins of GraphDB Workbench are open sourced,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,graphdb
Google Cloud Spanner,Relational,Relational DBMS,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,2.56,97,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,google-cloud-spanner
Memgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Memgraph,Y,,memgraph/memgraph,2.54,98,memgraph,memgraph,Memgraph Ltd,2017,,Y,BSL 1.1; commercial license for enterprise edition available,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,memgraph
IBM Cloudant,Document,Document store,https://db-engines.com/en/system/IBM+Cloudant,N,,-,2.52,99,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,ibm-cloudant
GemFire,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/GemFire,N,Y,-,2.47,100,-,-,VMware,2004,2022,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,gemfire
Apache Jena - TDB,RDF,RDF store,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,2.44,101,apache,jena,Apache Software Foundation,2000,2023,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,apache-jena-tdb
OceanBase,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/OceanBase,Y,,oceanbase/oceanbase,2.42,102,oceanbase,oceanbase,OceanBase,2010,2024,Y,Commercial license available,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,oceanbase
SAP IQ,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+IQ,N,,-,2.35,103,-,-,"SAP, formerly Sybase",1994,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,sap-iq
Coveo,Search Engine,Search engine,https://db-engines.com/en/system/Coveo,N,,-,2.3,104,-,-,Coveo,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,coveo
RethinkDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/RethinkDB,Y,,rethinkdb/rethinkdb,2.3,105,rethinkdb,rethinkdb,The Linux Foundation,2009,2020,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,rethinkdb
Qdrant,Vector,Vector DBMS,https://db-engines.com/en/system/Qdrant,Y,,qdrant/qdrant,2.28,106,qdrant,qdrant,Qdrant,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,qdrant
Apache Accumulo,Wide column,Wide column store,https://db-engines.com/en/system/Apache+Accumulo,,,,2.22,107,,,,2008,2022,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,apache-accumulo
YugabyteDB,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,2.2,108,yugabyte,yugabyte-db,Yugabyte Inc.,2017,2024,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,yugabytedb
DolphinDB,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/DolphinDB,N,,-,2.16,109,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.0,dolphindb
InterSystems IRIS,Document,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/InterSystems+IRIS,N,,-,2.15,110,-,-,InterSystems,2018,2023,N,,N,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,intersystems-iris
Amazon Neptune,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Amazon+Neptune,N,,-,2.13,111,-,-,Amazon,2017,,N,,Y,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,amazon-neptune
"UniData,UniVerse",Multivalue,Multivalue DBMS,https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,2.08,112,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,unidata-universe
PouchDB,Document,Document store,https://db-engines.com/en/system/PouchDB,Y,N,pouchdb/pouchdb,2.0,113,pouchdb,pouchdb,Apache Software Foundation,2012,2019,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,pouchdb
GridDB,Time Series,"Time Series DBMS,Key-value store,Relational DBMS",https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,2.0,114,griddb,griddb,Toshiba Corporation,2013,2022,Y,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,griddb
Weaviate,Vector,Vector DBMS,https://db-engines.com/en/system/Weaviate,Y,,semi-technologies/weaviate,1.95,115,semi-technologies,weaviate,Weaviate B.V.,2019,2023,Y,commercial license available with Weaviate Enterprise,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,weaviate
