DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Mar-2026,Rank_Mar-2026,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Columnar,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,NoSQL,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Spatial DBMS,Vector DBMS,DBMS_urnform
Neo4j,Graph,Graph DBMS,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,47.32,20,neo4j,neo4j,"Neo4j, Inc.",2007,2024,Y,"GPL version3, commercial licenses available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neo4j
Apache Solr,Search Engine,"Search engine,Spatial DBMS",https://db-engines.com/en/system/Apache+Solr,,,,32.79,21,,,Apache Software Foundation,2006,2024,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,apache-solr
SAP HANA,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+HANA,N,,-,32.09,22,-,-,SAP,2010,2023,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,sap-hana
Teradata,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Teradata,N,,-,31.08,23,-,-,Teradata,1984,2019,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,teradata
FileMaker,Relational,Relational DBMS,https://db-engines.com/en/system/FileMaker,N,,-,29.31,24,-,-,Claris,1983,2021,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,filemaker
SAP Adaptive Server,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,25.53,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,sap-adaptive-server
Microsoft Azure Cosmos DB,Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,22.75,26,-,-,Microsoft,2014,,N,,Y,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,microsoft-azure-cosmos-db
Apache Spark (SQL),Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,,,22.07,27,,,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-spark-sql
ClickHouse,Relational,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,22.01,28,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2025,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.0,0.0,clickhouse
PostGIS,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,21.88,29,postgis,postgis,,2005,2024,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,postgis
InfluxDB,Time Series,"Time Series DBMS,Spatial DBMS",https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,20.74,30,influxdata,influxdb,,2013,2024,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,influxdb
OpenSearch,Search Engine,"Search engine,Vector DBMS,Vector DBMS",https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,20.27,31,opensearch-project,OpenSearch,The OpenSearch Software Foundation,2021,2025,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,opensearch
Apache HBase,Wide column,Wide column store,https://db-engines.com/en/system/Apache+HBase,,,,19.18,32,,,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,apache-hbase
Firebird,Relational,Relational DBMS,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,17.44,33,FirebirdSQL,firebird,Firebird Foundation,2000,2024,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,firebird
Microsoft Azure Synapse Analytics,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,15.98,34,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,microsoft-azure-synapse-analytics
Microsoft Fabric,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Fabric,,,,15.12,35,,,Microsoft,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,microsoft-fabric
Firebase Realtime Database,Document,Document store,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,15.11,36,-,-,Google,2012,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,firebase-realtime-database
Amazon Redshift,Relational,Relational DBMS,https://db-engines.com/en/system/Amazon+Redshift,N,,-,14.25,37,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,amazon-redshift
Informix,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Informix,N,Y,-,13.78,38,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,informix
Memcached,Key-value,Key-value store,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,13.68,39,memcached,memcached,Danga Interactive,2003,2024,Y,BSD license,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,memcached
Apache Impala,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Apache+Impala,,,,12.67,40,,,Apache Software Foundation,2013,2022,Y,Apache Version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-impala
Apache Flink,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Flink,Y,,apache/flink,10.25,41,apache,flink,Apache Software Foundation and contributors,,2024,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,apache-flink
Couchbase,Document,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store",https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,10.15,42,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2024,Y,Business Source License (BSL 1.1); Commercial licenses also available,N,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1.0,0.0,couchbase
DuckDB,Relational,Relational DBMS,https://db-engines.com/en/system/DuckDB,Y,,duckdb/duckdb,9.41,43,duckdb,duckdb,,2018,2024,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,duckdb
Google Cloud Firestore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,9.29,44,-,-,Google,2017,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,google-cloud-firestore
Amazon Aurora,Relational,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Amazon+Aurora,N,,-,9.16,45,-,-,Amazon,2015,2024,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.0,amazon-aurora
Prometheus,Time Series,Time Series DBMS,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,8.71,46,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,prometheus
Vertica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Vertica,N,Y,-,8.39,47,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,vertica
Pinecone,Vector,Vector DBMS,https://db-engines.com/en/system/Pinecone,N,Y,-,7.74,48,-,-,"Pinecone Systems, Inc",2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,pinecone
H2,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/H2,Y,N,h2database/h2database,7.56,49,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,h2
dBASE,Relational,Relational DBMS,https://db-engines.com/en/system/dBASE,N,,-,7.51,50,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,dbase
Kdb,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,7.41,51,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,1.0,kdb
etcd,Key-value,Key-value store,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,7.11,52,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,etcd
Algolia,Search Engine,Search engine,https://db-engines.com/en/system/Algolia,N,,-,6.96,53,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,algolia
Trino,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",https://db-engines.com/en/system/Trino,Y,,trinodb/trino,6.84,54,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1.0,0.0,trino
Realm,Document,Document store,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,6.54,55,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,realm
Netezza,Relational,Relational DBMS,https://db-engines.com/en/system/Netezza,N,,-,6.28,56,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,netezza
Microsoft Azure AI Search,Search Engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Microsoft+Azure+AI+Search,N,,-,6.28,57,-,-,Microsoft,2015,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,,microsoft-azure-ai-search
Greenplum,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb-archive,6.26,58,greenplum-db,gpdb-archive,Pivotal Software Inc.,2005,2023,N,Apache 2.0,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,greenplum
CouchDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,6.05,59,apache,couchdb,Apache Software Foundation,2005,2023,Y,Apache version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,couchdb
Milvus,Vector,Vector DBMS,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,6.02,60,milvus-io,milvus,,2019,2024,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,milvus
Sphinx,Search Engine,Search engine,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,5.8,61,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,sphinx
Presto,Relational,Relational DBMS,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,5.79,62,prestodb,presto,Facebook; Presto Foundation,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,presto
TimescaleDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,5.42,63,timescale,timescaledb,Timescale,2017,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,timescaledb
Qdrant,Vector,Vector DBMS,https://db-engines.com/en/system/Qdrant,Y,,qdrant/qdrant,4.79,64,qdrant,qdrant,Qdrant,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,qdrant
Hazelcast,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,4.76,65,hazelcast,hazelcast,Hazelcast,2008,2023,Y,Apache Version 2; commercial licenses available,N,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,hazelcast
DolphinDB,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/DolphinDB,N,,-,4.58,66,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,0.0,dolphindb
Oracle Essbase,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Essbase,N,,-,4.54,67,-,-,Oracle,1998,2020,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,oracle-essbase
Weaviate,Vector,Vector DBMS,https://db-engines.com/en/system/Weaviate,Y,,semi-technologies/weaviate,4.52,68,semi-technologies,weaviate,Weaviate B.V.,2019,2023,Y,commercial license available with Weaviate Enterprise,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,weaviate
Graphite,Time Series,Time Series DBMS,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,4.51,69,graphite-project,graphite-web,Chris Davis,2006,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,graphite
ScyllaDB,Wide column,"Wide column store,Key-value store",https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,4.43,70,scylladb,scylla,ScyllaDB,2015,2024,Y,"Open Source (AGPL), commercial license available",N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,scylladb
MarkLogic,Document,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS",https://db-engines.com/en/system/MarkLogic,N,,-,4.02,71,-,-,MarkLogic Corp.,2001,2022,N,restricted free version is available,N,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.0,0.0,marklogic
CockroachDB,Relational,"Multi-Model DBMS,Relational DBMS,CockroachDB supports relational,semi-structured JSON/document,vector/embedding,geospatial,and typed categorical/enumeration data,all exposed via SQL,on the same strongly consistent,globally distributed data platform.",https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,3.81,72,cockroachdb,cockroach,Cockroach Labs,2015,2026,Y,"Apache 2.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,cockroachdb
QuestDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/QuestDB,Y,,questdb/questdb,3.66,73,questdb,questdb,QuestDB Technology Inc,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,questdb
Apache Jackrabbit,Content,Content stores,https://db-engines.com/en/system/Apache+Jackrabbit,,,,3.6,74,,,Apache Software Foundation,2006,2022,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,apache-jackrabbit
Google Cloud Datastore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,3.57,75,-,-,Google,2008,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,google-cloud-datastore
Apache Druid,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Apache+Druid,Y,N,apache/druid,3.5,76,apache,druid,Apache Software Foundation and contributors,2012,2025,Y,Apache license v2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,apache-druid
OpenEdge,Relational,Relational DBMS,https://db-engines.com/en/system/OpenEdge,N,,-,3.47,77,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,openedge
Aerospike,Document,"Document store,Graph DBMS,Key-value store,Spatial DBMS",https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,3.45,78,aerospike,aerospike-server,Aerospike,2012,2025,Y,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,N,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,aerospike
ArangoDB,Document,"Document store,Graph DBMS,Key-value store,Search engine",https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,3.44,79,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,arangodb
RocksDB,Key-value,Key-value store,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,3.42,80,facebook,rocksdb,"Facebook, Inc.",2013,2024,Y,BSD,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,rocksdb
Interbase,Relational,Relational DBMS,https://db-engines.com/en/system/Interbase,N,,-,3.41,81,-,-,Embarcadero,1984,2019,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,interbase
Datastax Enterprise,Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",https://db-engines.com/en/system/Datastax+Enterprise,N,,-,3.37,82,-,-,DataStax,2011,2020,N,,N,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1.0,1.0,datastax-enterprise
TiDB,Relational,"Relational DBMS,Vector DBMS",https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,3.35,83,pingcap,tidb,"PingCAP, Inc.",2016,2024,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,tidb
Alibaba Cloud PolarDB,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,,,3.3,84,,,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,alibaba-cloud-polardb
SAP SQL Anywhere,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,3.26,85,-,-,SAP,1992,2015,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,sap-sql-anywhere
Ehcache,Key-value,Key-value store,https://db-engines.com/en/system/Ehcache,Y,Y,ehcache/ehcache3,3.16,86,ehcache,ehcache3,"Terracotta Inc, owned by Software AG",2009,2022,Y,Apache Version 2; commercial licenses available,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,ehcache
Riak KV,Key-value,Key-value store,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,3.14,87,basho,riak_kv,"OpenSource, formerly Basho Technologies",2009,2022,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,riak-kv
Ingres,Relational,Relational DBMS,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,3.14,88,fosslc,Ingres,Actian Corporation,1974,2024,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,ingres
Apache Derby,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Derby,,,,3.12,89,,,Apache Software Foundation,1997,2023,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,apache-derby
Microsoft Azure Data Explorer,Relational,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,3.11,90,-,-,Microsoft,2019,,N,,Y,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1.0,0.0,microsoft-azure-data-explorer
