unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag,DBMS,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
caskdb,caskdb,CaskDB,,X_Never,Y_auto,caskdb,Key-value,Python,,Embedded,Avinash Sajjanshetty,IN,2022,,"Educational,Open Source",MIT,avinassh/py-caskdb,Y,,
cassandra,cassandra,Cassandra,Cassandra,Normal,Y_auto,cassandra#dbdbio>|<dbengines#Cassandra,"Wide column,Key-value#dbdbio>|<dbengines#Wide column",Java,Custom API,Shared-Nothing,Apache Software Foundation,US,2008,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/cassandra,Y,116.22,11
castledb,castledb,CastleDB,,X_Never,Y_auto,castledb,Document,Haxe,HTTP / REST,,Nicolas Cannasse,FR,2012,,Open Source,ISC License,ncannasse/castle,Y,,
cayley,cayley,Cayley,,X_Never,Y_auto,cayley,RDF,Go,"GraphQL,Gremlin",,Google,US,2014,,Open Source,Apache v2,cayleygraph/cayley,Y,,
ceresdb,ceresdb,CeresDB,,X_Never,Y_auto,ceresdb,Relational,Rust,"SQL,HTTP / REST",,,CN,2021,,Open Source,Apache v2,CeresDB/ceresdb,Y,,
chaozzdb,chaozzdb,chaozzDB,,X_Never,Y_auto,chaozzdb,,PHP,SQL,Embedded,Elmar Wenners,NL,2008,,"Hobby,Open Source",Creative Commons License,chaozznl/chaozzDB,Y,,
chronicle-map,chronicle-map,Chronicle Map,,X_Never,Y_auto,chronicle-map,Key-value,Java,,,Chronicle Software,GB,2014,,"Commercial,Open Source",LGPL v3,OpenHFT/Chronicle-Map,Y,,
chronix,chronix,Chronix,,X_Never,Y_auto,chronix,,Java,Custom API,,QAware,DE,2015,,"Commercial,Open Source",Apache v2,ChronixDB/chronix.server,Y,,
citus,citus,Citus,Citus,Normal,Y_auto,citus#dbdbio>|<dbengines#Citus,Relational,C,SQL,Shared-Nothing,Citus Data,"US,TR",2010,2018,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#AGPL, commercial license also available",citusdata/citus,Y,3.12,105
clickhouse,clickhouse,ClickHouse,ClickHouse,Normal,Y_auto,clickhouse#dbdbio>|<dbengines#ClickHouse,Relational,C++,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Yandex#dbdbio>|<dbengines#Clickhouse Inc.,RU,2016,2023,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,ClickHouse/ClickHouse,Y,13.99,44
cloudkit,cloudkit,CloudKit,CloudKit,Normal,Y_auto,cloudkit#dbdbio>|<dbengines#CloudKit,Document,,,,,US,2008#dbdbio>|<dbengines#2016,,Open Source,MIT,jcrosby/cloudkit,Y#dbdbio>|<dbengines#N,3.07,106
cnosdb,cnosdb,CnosDB,,X_Never,Y_auto,cnosdb,Relational,Rust,SQL,Shared-Disk,CnosDB,CN,2021,,"Commercial,Open Source",AGPL v3,cnosdb/cnosdb,Y,,
cockroachdb,cockroachdb,CockroachDB,CockroachDB,Normal,Y_auto,cockroachdb#dbdbio>|<dbengines#CockroachDB,Relational,Go,SQL,Shared-Nothing,Cockroach Labs,US,2014#dbdbio>|<dbengines#2015,2021,"Commercial,Open Source","Business Source License#dbdbio>|<dbengines#Apache 2.0, commercial license available",cockroachdb/cockroach,Y,7.27,57
cogdb,cogdb,CogDB,,X_Never,Y_auto,cogdb,RDF,Python,Custom API,Embedded,Arun Mahendra,CA,2017,,"Hobby,Open Source",MIT,arun1729/cog,Y,,
column,column,Column,,X_Never,Y_auto,column,Relational,Go,Custom API,Embedded,Roman Atachiants,AE,2021,,"Hobby,Open Source",MIT,kelindar/column,Y,,
comdb2,comdb2,Comdb2,Comdb2,Normal,Y_auto,comdb2#dbdbio>|<dbengines#Comdb2,Relational,C,SQL,,Bloomberg#dbdbio>|<dbengines#Bloomberg Finance L.P.,US,2004,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,bloomberg/comdb2,Y,0.55,270
compass,compass,Compass,,X_Never,Y_auto,compass,"Document,Object oriented",Java,Custom API,Shared-Memory,Shay Banon,GB,2006,,Open Source,Apache v2,kimchy/compass,Y,,
computedb,computedb,ComputeDB,Tibco ComputeDB,Fuzzy:Normal,Y,computedb#dbdbio>|<dbengines#Tibco ComputeDB,Relational,Java,SQL,,Tibco,US,2015,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,SnappyDataInc/snappydata#dbdbio>|<dbengines#-,Y,0.26,333
concourse,concourse,Concourse,,X_Never,Y_auto,concourse,Document,Java,Custom API,,Cinchapi Inc.,US,2012,,"Commercial,Open Source",Apache v2,cinchapi/concourse,Y,,
condensation,condensation,Condensation,,X_Never,Y_auto,condensation,Object oriented,Java,Custom API,,,CH,2020,,Open Source,Apache v2,CondensationDB/Condensation-java,Y,,
consus,consus,Consus,,X_Never,Y_auto,consus,Key-value,C++,,,Cornell University,US,2015,,"Academic,Open Source",BSD,rescrv/Consus,Y,,
coreobject,coreobject,CoreObject,,X_Never,Y_auto,coreobject,Object oriented,Objective-C,Custom API,,Étoilé Project,FR,2007,,"Academic,Open Source",MIT,etoile/CoreObject,Y,,
couchbase,couchbase,Couchbase,Couchbase,Normal,Y_auto,couchbase#dbdbio>|<dbengines#Couchbase,"Key-value,Document#dbdbio>|<dbengines#Document","C,C++,Erlang,Go",Custom API,Shared-Nothing,"Couchbase, Inc.",US,2010#dbdbio>|<dbengines#2011,2021,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache version 2; Commercial licenses also available,couchbase/manifest#dbdbio>|<dbengines#couchbase/couchbase-lite-ios,Y,24.86,30
couchdb,couchdb,CouchDB,CouchDB,Normal,Y_auto,couchdb#dbdbio>|<dbengines#CouchDB,Document,Erlang,HTTP / REST,Shared-Nothing,Damien Katz#dbdbio>|<dbengines#Apache Software Foundation,US,2005,2023,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/couchdb,Y,14.45,42
