DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Jul-2023,Rank_Jul-2023
buntdb,buntdb,,X_Single,Y_auto,BuntDB,Key-value,Go,,Embedded,Josh Baker,US,2016,,Open Source,MIT,tidwall/buntdb,Y,,
bustub,bustub,,X_Single,Y_auto,BusTub,Relational,C++,SQL,,Carnegie Mellon University,US,2019,,"Academic,Educational,Open Source",MIT,cmu-db/bustub,Y,,
byconity,byconity,,X_Single,Y_auto,ByConity,Relational,C++,SQL,Shared-Disk,ByteDance,CN,2020,,"Commercial,Open Source",Apache v2,ByConity/ByConity,Y,,
c-store,c-store,,X_Single,Y_auto,C-Store,Relational,C++,SQL,Shared-Nothing,"Massachusetts Institute of Technology, Brown University",US,2005,2008,"Academic,Open Source",BSD,,Y,,
cachegrand,cachegrand,,X_Single,Y_auto,Cachegrand,Key-value,C,HTTP / REST,,Cachegrand,CH,2018,,"Commercial,Open Source",BSD,danielealbano/cachegrand,Y,,
calvin,calvin,,X_Single,Y_auto,Calvin,Relational,C++,,,Yale University,US,2012,2015,"Academic,Open Source",,yaledb/calvin,Y,,
caskdb,caskdb,,X_Single,Y_auto,CaskDB,Key-value,Python,,Embedded,Avinash Sajjanshetty,IN,2022,,"Educational,Open Source",MIT,avinassh/py-caskdb,Y,,
cassandra,cassandra,cassandra,Normal,Y_auto,Cassandra,"Wide column,Key-value#dbdbio>|<dbengines#Wide column",Java,Custom API,Shared-Nothing,Apache Software Foundation,US,2008,2023,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/cassandra,Y,106.53,12
castledb,castledb,,X_Single,Y_auto,CastleDB,Document,Haxe,HTTP / REST,,Nicolas Cannasse,FR,2012,,Open Source,ISC License,ncannasse/castle,Y,,
cayley,cayley,,X_Single,Y_auto,Cayley,RDF,Go,"GraphQL,Gremlin",,Google,US,2014,,Open Source,Apache v2,cayleygraph/cayley,Y,,
ceresdb,ceresdb,,X_Single,Y_auto,CeresDB,Relational,Rust,"SQL,HTTP / REST",,,CN,2021,,Open Source,Apache v2,CeresDB/ceresdb,Y,,
chaozzdb,chaozzdb,,X_Single,Y_auto,chaozzDB,,PHP,SQL,Embedded,Elmar Wenners,NL,2008,,"Hobby,Open Source",Creative Commons License,chaozznl/chaozzDB,Y,,
cheetah,cheetah,,X_Single,Y_auto,Cheetah,Relational,Visual Basic,Custom API,Embedded,PlanetSquires Software,CA,2005,2012,Open Source,GPL v2,,Y,,
chroma,chroma,chroma,Normal,Y_auto,Chroma,Document#dbdbio>|<dbengines#Vector DBMS,Python,Custom API,"Shared-Everything,Embedded",Chroma Inc.#dbdbio>|<dbengines#Chroma,US,2022,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache-2.0 license,chroma-core/chroma,Y,2.41,135
chronicle-map,chronicle-map,,X_Single,Y_auto,Chronicle Map,Key-value,Java,,,Chronicle Software,GB,2014,,"Commercial,Open Source",LGPL v3,OpenHFT/Chronicle-Map,Y,,
chronix,chronix,,X_Single,Y_auto,Chronix,,Java,Custom API,,QAware,DE,2015,2019,"Commercial,Open Source",Apache v2,ChronixDB/chronix.server,Y,,
citus,citus,citus,Normal,Y_auto,Citus,Relational,C,SQL,Shared-Nothing,Citus Data,"TR,US",2010,2018,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#AGPL, commercial license also available",citusdata/citus,Y,2.58,131
clickhouse,clickhouse,clickhouse,Normal,Y_auto,ClickHouse,Relational,C++,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Yandex#dbdbio>|<dbengines#Clickhouse Inc.,RU,2016,2023,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,ClickHouse/ClickHouse,Y,15.3,40
cloudkit,cloudkit,cloudkit,Normal,Y_auto,CloudKit,Document,,,,,US,2008#dbdbio>|<dbengines#2016,2011,Open Source,MIT,jcrosby/cloudkit,Y#dbdbio>|<dbengines#N,2.92,119
cnosdb,cnosdb,cnosdb,Normal,Y_auto,CnosDB,Relational#dbdbio>|<dbengines#Time Series,Rust,SQL,Shared-Disk,CnosDB,CN,2021#dbdbio>|<dbengines#2022,2023,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#AGPL 3.0,cnosdb/cnosdb,Y,0.38,310
cockroachdb,cockroachdb,cockroachdb,Normal,Y_auto,CockroachDB,Relational,Go,SQL,Shared-Nothing,Cockroach Labs,US,2014#dbdbio>|<dbengines#2015,2023,"Commercial,Open Source","Business Source License#dbdbio>|<dbengines#Apache 2.0, commercial license available",cockroachdb/cockroach,Y,7.04,60
codernitydb,codernitydb,,X_Single,Y_auto,CodernityDB,Key-value,Python,HTTP / REST,Shared-Everything,Codernity.com,PL,2011,,Open Source,Apache v2,,Y,,
cogadb,cogadb,,X_Single,Y_auto,CoGaDB,Relational,C++,SQL,Shared-Everything,TU Berlin,DE,2012,2020,"Academic,Open Source",GPL v3,,Y,,
cogdb,cogdb,,X_Single,Y_auto,CogDB,RDF,Python,Custom API,Embedded,Arun Mahendra,CA,2017,,"Hobby,Open Source",MIT,arun1729/cog,Y,,
column,column,,X_Single,Y_auto,Column,Relational,Go,Custom API,Embedded,Roman Atachiants,AE,2021,,"Hobby,Open Source",MIT,kelindar/column,Y,,
comdb2,comdb2,comdb2,Normal,Y_auto,Comdb2,Relational,C,SQL,,Bloomberg#dbdbio>|<dbengines#Bloomberg Finance L.P.,US,2004,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,bloomberg/comdb2,Y,0.45,300
compass,compass,,X_Single,Y_auto,Compass,"Document,Object oriented",Java,Custom API,Shared-Memory,Shay Banon,GB,2006,2009,Open Source,Apache v2,kimchy/compass,Y,,
composedb,composedb,,X_Single,Y_auto,ComposeDB,Graph,TypeScript,GraphQL,,3Box Labs,IE,2022,,Open Source,"Apache v2,MIT",ceramicstudio/js-composedb,Y,,
