DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag
paldb,paldb,,X_Single,Y_auto
paper,paper,,X_Single,Y_auto
pearldb,pearldb,,X_Single,Y_auto
pebble,pebble,,X_Single,Y_auto
percona-server,percona-server,"percona-server-for-mongodb,percona-server-for-mysql",Multiple,
perst,perst,perst,Normal,Y_auto
phoenix,phoenix,apache-phoenix,Fuzzy,
photondb,photondb,,X_Single,Y_auto
pickledb,pickledb,,X_Single,Y_auto
picodb,picodb,,X_Single,Y_auto
picosql,picosql,,X_Single,Y_auto
pika,pika,,X_Single,Y_auto
piladb,piladb,,X_Single,Y_auto
pilosa,pilosa,,X_Single,Y_auto
pincaster,pincaster,,X_Single,Y_auto
pinot,pinot,apache-pinot,Fuzzy,
pinusdb,pinusdb,,X_Single,Y_auto
pipelinedb,pipelinedb,pipelinedb,Normal,Y_auto
pocketsql,pocketsql,,X_Single,Y_auto
pogreb,pogreb,,X_Single,Y_auto
polypheny,polypheny,,X_Single,Y_auto
postgresql,postgresql,postgresql,Normal,Y_auto
pouchdb,pouchdb,pouchdb,Normal,Y_auto
pranadb,pranadb,,X_Single,Y_auto
predator,predator,,X_Single,Y_auto
prestodb,prestodb,,X_Single,Y_auto
profanedb,profanedb,,X_Single,Y_auto
prometheus,prometheus,prometheus,Normal,Y_auto
pumpkindb,pumpkindb,,X_Single,Y_auto
pupdb,pupdb,,X_Single,Y_auto
qikkdb,qikkdb,,X_Single,Y_auto
ql,ql,,X_Single,Y_auto
qserv,qserv,,X_Single,Y_auto
quadrable,quadrable,,X_Single,Y_auto
questdb,questdb,questdb,Normal,Y_auto
quickstep,quickstep,,X_Single,Y_auto
quinedb,quinedb,,X_Single,Y_auto
quokka,quokka,,X_Single,Y_auto
radondb,radondb,,X_Single,Y_auto
ragedb,ragedb,,X_Single,Y_auto
raptordb,raptordb,raptordb,Normal,Y_auto
ravendb,ravendb,ravendb,Normal,Y_auto
realm,realm,realm,Normal,Y_auto
redb,redb,,X_Single,Y_auto
