unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag
goshawkdb,goshawkdb,GoshawkDB,,X_Never,Y_auto
graphik,graphik,Graphik,,X_Never,Y_auto
graviton,graviton,Graviton,,X_Never,Y_auto
greatsql,greatsql,GreatSQL,,X_Never,Y_auto
greenplum,greenplum,Greenplum,Greenplum,Normal,Y_auto
greptimedb,greptimedb,GreptimeDB,,X_Never,Y_auto
griddb,griddb,GridDB,GridDB,Normal,Y_auto
gun,gun,GUN,,X_Never,Y_auto
h-store,h-store,H-Store,,X_Never,Y_auto
h2,h2,H2,H2,Normal,Y_auto
halodb,halodb,HaloDB,,X_Never,Y_auto
hanoidb,hanoidb,HanoiDB,,X_Never,Y_auto
hawq,hawq,HAWQ,Apache HAWQ,Fuzzy,
hazelcast,hazelcast,Hazelcast,Hazelcast,Normal,Y_auto
heavydb,heavydb,HeavyDB,,X_Never,Y_auto
herddb,herddb,HerdDB,,X_Never,Y_auto
heroic,heroic,Heroic,Heroic,Normal,Y_auto
hibari,hibari,Hibari,Hibari,Normal,Y_auto
hipsterdb,hipsterdb,hipsterDB,,X_Never,Y_auto
histore,histore,Histore,,X_Never,Y_auto
hive-dart,hive-dart,Hive (Dart),,X_Never,Y_auto
hstreamdb,hstreamdb,HStreamDB,,X_Never,Y_auto
hydra,hydra,Hydra,,X_Never,Y_auto
hyperdex,hyperdex,HyperDex,,X_Never,Y_auto
hypergraphdb,hypergraphdb,HyperGraphDB,HyperGraphDB,Normal,Y_auto
hypertable,hypertable,Hypertable,,X_Never,Y_auto
hyrise,hyrise,Hyrise,,X_Never,Y_auto
icecoal,icecoal,Icecoal,,X_Never,Y_auto
icefiredb,icefiredb,IceFireDB,,X_Never,Y_auto
ignite,ignite,Ignite,Ignite,Normal,Y_auto
immortaldb,immortaldb,ImmortalDB,,X_Never,Y_auto
immudb,immudb,Immudb,Immudb,Normal,Y_auto
impala,impala,Impala,Impala,Normal,Y_auto
infinidb,infinidb,InfiniDB,,X_Never,Y_auto
infinispan,infinispan,Infinispan,Infinispan,Normal,Y_auto
infinisql,infinisql,InfiniSQL,,X_Never,Y_auto
influxdb,influxdb,InfluxDB,InfluxDB,Normal,Y_auto
iondb,iondb,IonDB,,X_Never,Y_auto
iotdb,iotdb,IoTDB,Apache IoTDB,Fuzzy,
irmin,irmin,Irmin,,X_Never,Y_auto
jackrabbit,jackrabbit,Jackrabbit,Jackrabbit,Normal,Y_auto
jaguar,jaguar,Jaguar,,X_Never,Y_auto
janusgraph,janusgraph,JanusGraph,JanusGraph,Normal,Y_auto
jasdb,jasdb,JasDB,JasDB,Normal,Y_auto
jena,jena,Jena,Apache Jena - TDB,Fuzzy,
jindb,jindb,JinDB,,X_Never,Y_auto
jsdb,jsdb,JSDB,,X_Never,Y_auto
jsonstoreio,jsonstoreio,jsonstore.io,,X_Never,Y_auto
jsqldb,jsqldb,JSqlDb,,X_Never,Y_auto
juliadb,juliadb,JuliaDB,,X_Never,Y_auto
justindb,justindb,JustinDB,,X_Never,Y_auto
kairosdb,kairosdb,KairosDB,KairosDB,Normal,Y_auto
kareldb,kareldb,KarelDB,,X_Never,Y_auto
kerf,kerf,Kerf,,X_Never,Y_auto
keydb,keydb,KeyDB,KeyDB,Normal,Y_auto
kingdb,kingdb,KingDB,,X_Never,Y_auto
kinto,kinto,Kinto,,X_Never,Y_auto
kirbybase,kirbybase,KirbyBase,,X_Never,Y_auto
krati,krati,Krati,,X_Never,Y_auto
ksqldb,ksqldb,ksqlDB,,X_Never,Y_auto
kudu,kudu,Kudu,,X_Never,Y_auto
kunlun,kunlun,Kunlun,,X_Never,Y_auto
kvrocks,kvrocks,Kvrocks,,X_Never,Y_auto
kylin,kylin,Kylin,Apache Kylin,Fuzzy,
kuzu,kuzu,Kùzu,,X_Never,Y_auto
lazer,lazer,Lazer,,X_Never,Y_auto
lealone,lealone,Lealone,,X_Never,Y_auto
ledisdb,ledisdb,LedisDB,LedisDB,Normal,Y_auto
lindb,lindb,LinDB,,X_Never,Y_auto
lineairdb,lineairdb,LineairDB,,X_Never,Y_auto
litedb,litedb,LiteDB,LiteDB,Normal,Y_auto
littled,littled,LittleD,,X_Never,Y_auto
llamadb,llamadb,LlamaDB,,X_Never,Y_auto
locustdb,locustdb,LocustDB,,X_Never,Y_auto
lokijs,lokijs,LokiJS,LokiJS,Normal,Y_auto
lovefield,lovefield,Lovefield,Lovefield,Normal,Y_auto
lowdb,lowdb,LowDB,,X_Never,Y_auto
lucene,lucene,Lucene,,X_Never,Y_auto
luciddb,luciddb,LucidDB,,X_Never,Y_auto
lungodb,lungodb,LungoDB,,X_Never,Y_auto
m3db,m3db,M3DB,M3DB,Normal,Y_auto
mangodb,mangodb,MangoDB,,X_Never,Y_auto
manticore-search,manticore-search,Manticore Search,Manticore Search,Normal,Y_auto
mapdb,mapdb,MapDB,MapDB,Normal,Y_auto
marcellodb,marcellodb,MarcelloDB,,X_Never,Y_auto
mariadb,mariadb,MariaDB,MariaDB,Normal,Y_auto
matrixone,matrixone,MatrixOne,MatrixOne,Normal,Y_auto
mcdb,mcdb,mcdb,,X_Never,Y_auto
mckoi-sql-database,mckoi-sql-database,Mckoi SQL Database,,X_Never,Y_auto
meilisearch,meilisearch,Meilisearch,Meilisearch,Normal,Y_auto
memcached,memcached,Memcached,Memcached,Normal,Y_auto
memgraph,memgraph,Memgraph,Memgraph,Normal,Y_auto
memstate,memstate,Memstate,,X_Never,Y_auto
mentat,mentat,Mentat,,X_Never,Y_auto
metalbase,metalbase,MetalBase,,X_Never,Y_auto
milvus,milvus,Milvus,Milvus,Normal,Y_auto
mldb,mldb,MLDB,,X_Never,Y_auto
mnesia,mnesia,Mnesia,Mnesia,Normal,Y_auto
modeshape,modeshape,ModeShape,ModeShape,Normal,Y_auto
mondrian,mondrian,Mondrian,,X_Never,Y_auto
monetdb,monetdb,MonetDB,MonetDB,Normal,Y_auto
mongodb,mongodb,MongoDB,"MongoDB,Percona Server for MongoDB",Multiple,
mulgara,mulgara,Mulgara,Mulgara,Normal,Y_auto
mysql,mysql,MySQL,"MySQL,Percona Server for MySQL",Multiple,
nanolat,nanolat,Nanolat,,X_Never,Y_auto
ncache,ncache,NCache,NCache,Normal,Y_auto
nebula-graph,nebula-graph,Nebula Graph,,X_Never,Y_auto
nedb,nedb,NeDB,,X_Never,Y_auto
neo4j,neo4j,Neo4j,Neo4j,Normal,Y_auto
neon,neon,Neon,,X_Never,Y_auto
nessdb,nessdb,nessDB,,X_Never,Y_auto
nitrite,nitrite,Nitrite,,X_Never,Y_auto
noisepage,noisepage,NoisePage,,X_Never,Y_auto
noms,noms,Noms,,X_Never,Y_auto
nosdb,nosdb,NosDB,NosDB,Normal,Y_auto
nudb,nudb,NuDB,,X_Never,Y_auto
nutsdb,nutsdb,NutsDB,,X_Never,Y_auto
objectbox,objectbox,ObjectBox,ObjectBox,Normal,Y_auto
oceanbase,oceanbase,OceanBase,OceanBase,Normal,Y_auto
olegdb,olegdb,OlegDB,,X_Never,Y_auto
openmldb,openmldb,OpenMLDB,,X_Never,Y_auto
opentsdb,opentsdb,OpenTSDB,OpenTSDB,Normal,Y_auto
orbitdb,orbitdb,OrbitDB,,X_Never,Y_auto
orientdb,orientdb,OrientDB,OrientDB,Normal,Y_auto
origodb,origodb,OrigoDB,OrigoDB,Normal,Y_auto
paldb,paldb,PalDB,,X_Never,Y_auto
paper,paper,Paper,,X_Never,Y_auto
pearldb,pearldb,PearlDB,,X_Never,Y_auto
pebble,pebble,Pebble,,X_Never,Y_auto
percona-server,percona-server,Percona Server,"Percona Server for MySQL,Percona Server for MongoDB",Multiple,
photondb,photondb,PhotonDB,,X_Never,Y_auto
